"ProductReference","Name","PrimaryCategory","CurrencyCode","CurrencyDescription","LegalStructure","ClosedToInvestDate","ReopenToInvestDate","InceptionDate","PerformanceStartDate","PerformanceEndDate","GrossNett","InitialNAV","InitialSharePrice","Guaranteed","NavROR","MinimumInvestment","ManagementFee","IncentiveFee","ManagementFeePayablePeriod","HighWaterMark","ShareEqualisationMethod","Leveraged","MaxLeverage","AvgLeverage","Futures","Derivatives","Margin","FXCredit","PersonalCapital","PersonalCapitalAmount","CurrencyExposure","OpenEnded","OpenToPublic","InvestsInManagedAccounts","InvestsInOtherFunds","AcceptsManagedAccounts","ManagedAccountsMinAmount","TrackingFrequency","SubscriptionFrequency","RedemptionFrequency","RedemptionNoticePeriod","LockUpPeriod","LockUpComment","PayOutPeriod","PayOutComment","AuditDate","RegisteredInvestmentAdviser","DomicileState","DomicileCountry"
72047,"Horseman European Select Ltd A EUR","Long/Short Equity Hedge","EUR","Euro","Exempted Limited Liability Co",,,2005-07-01 00:00:00,2007-05-07 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",250000,1.5,20,"Monthly",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"Monthly","Monthly","Monthly",90,0,"No Lockup period.",5,"Payment of redemption proceeds will be made as soon as practicable after the relevant  Redemption Day and normally within 5 Business Days of the relevant Dealing Day.",2018-12-31 00:00:00,0,"None","Cayman Islands"
72066,"North of South Emerging Markets A USD","Emerging Markets","USD","US Dollar","OEIC",,,2004-12-01 00:00:00,2017-09-26 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,1.5,20,"Annual",1,1,1,180,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",30,0,"None",14,"",2018-12-31 00:00:00,1,"None","Cayman Islands"
72070,"Atlant Edge","Long/Short Equity Hedge","SEK","Swedish Krona","SE - Specialfond",,,2002-07-01 00:00:00,2007-05-07 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",50000,1,0.36,"Monthly",1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,"Monthly","Quarterly","Quarterly",0,0,"",0,"",2018-12-31 00:00:00,0,"None","Sweden"
72071,"Atlant Stability Offensiv","Long/Short Equity Hedge","SEK","Swedish Krona","SE - Specialfond",,,2002-07-01 00:00:00,2007-05-07 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",50000,1,20,"Annual",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,"Monthly","Quarterly","Quarterly",0,0,"",0,"",2018-12-31 00:00:00,0,"None","Sweden"
72074,"Catella Hedgefond A SEK","Multi-Strategy","SEK","Swedish Krona","SE - Specialfond",,,2004-03-01 00:00:00,2007-05-07 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",0,1,20,"Daily",1,0,1,350,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"Monthly","Daily","Daily",1,0,"No lokcup",0,"no payout",2018-12-31 00:00:00,0,"None","Sweden"
72077,"Ninepoint Enhanced Long Short Equity RSP LP Srs A","Long/Short Equity Hedge","CAD","Canadian Dollar","CA - Trust",,,2005-09-30 00:00:00,2007-05-07 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",150000,2,0,"Monthly",0,0,0,,,,,,,0,,0,0,0,0,0,0,,"Monthly","Monthly","Monthly",0,0,"No lock up period.",0,"No payout comment.",2018-12-31 00:00:00,0,"None","Canada"
72084,"Max Mitteregger Gladiator","Long/Short Equity Hedge","SEK","Swedish Krona","SE - Specialfond",,,2005-02-01 00:00:00,2008-01-08 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",500000,1,4.86,"Annual",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,"Monthly","Monthly","Quarterly",10,0,"",0,"",2018-12-31 00:00:00,0,"None","Sweden"
72092,"Handelsbanken Rantestrategi (A1 SEK)","Undefined","SEK","Swedish Krona","SE - Specialfond",,,2004-03-30 00:00:00,2008-02-29 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",50000,0.1,20,"Annual",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Monthly","Quarterly","Quarterly",30,0,"",0,"",2018-12-31 00:00:00,0,"None","Sweden"
72123,"Access Global Equity L/S I","Fund of Funds","EUR","Euro","FR - FCP",,,2001-11-23 00:00:00,2009-05-11 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",100000,0.52,0,"Not Defined",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,"Monthly","Not Defined","Not Defined",0,0,"",0,"",2018-12-31 00:00:00,0,"None","France"
72125,"Aramus (CH) Japan Fund A","Undefined","JPY","Japanese YEN","CH - Uebrige Fds altern. Anl.",,,2006-01-31 00:00:00,2007-07-18 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",1000000,2.5,,"Monthly",0,0,0,200,0,1,1,0,1,0,0,0,1,1,0,0,0,0,"Monthly","Monthly","Monthly",10,0,"No lock up period.",15,"15 days.",2019-03-31 00:00:00,0,"None","Switzerland"
72126,"Picton Mahoney Long Short Equity Class A","Long/Short Equity Hedge","CAD","Canadian Dollar","CA - Trust",,,2005-12-30 00:00:00,2007-05-07 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",25000,2,,,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,"Monthly","Not Defined","Not Defined",0,0,"",0,"",2018-12-31 00:00:00,0,"None","Canada"
72127,"Picton Mahoney Market Neutral Equity Class A","Equity Market Neutral","CAD","Canadian Dollar","CA - Trust",,,2005-12-30 00:00:00,2019-09-30 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",25000,2,,,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,"Monthly","Not Defined","Not Defined",0,0,"",0,"",2018-12-31 00:00:00,0,"None","Canada"
72219,"Fondo Gre, FIL (in-Liq)","Other","EUR","Euro","ES & PT - FIL",,,2007-06-29 00:00:00,2014-08-20 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",50000,1.5,0,"Monthly",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Quarterly",0,0,"No Lockup Period.",0,"No Payout.",2018-12-31 00:00:00,0,"None","Spain"
72227,"Shepherd Energy Portfolio","Fund of Funds","EUR","Euro","Limited Liability Company",,,2013-04-01 00:00:00,2019-07-24 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",250000,2,,"Fortnightly",1,0,1,,,,,,,1,200000,0,0,0,0,0,1,10000000,"Monthly","Monthly","Monthly",10,0,"No lockup period.",0,"No payout period.",2018-12-31 00:00:00,0,"None","Sweden"
72237,"FMG Middle East North Africa B EUR","Emerging Markets","EUR","Euro","OEIC",,,2006-04-03 00:00:00,2016-11-11 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,1.5,10,"Quarterly",1,0,0,,,,,,,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",20,0,"No Lockup Period",0,"A cheque will be posted or Funds will be wired within 28 days of the relevant Dealing Day, together with  details of the redemption and share certificate for the balance (if any) of the holding.",2019-03-31 00:00:00,0,"None","Bermuda"
72238,"FMG Middle East North Africa A EUR","Emerging Markets","EUR","Euro","OEIC",,,2006-04-03 00:00:00,2016-11-11 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",10000,2,20,"Quarterly",1,0,0,,,,,,,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",20,0,"No Lockup Period",0,"A cheque will be posted or Funds will be wired within 28 days of the relevant Dealing Day, together with  details of the redemption and share certificate for the balance (if any) of the holding.",2019-03-31 00:00:00,0,"None","Bermuda"
72239,"FMG Middle East North Africa B USD","Emerging Markets","USD","US Dollar","OEIC",,,2006-04-03 00:00:00,2009-02-06 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,1.5,10,"Monthly",1,0,0,,,,,,,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",10,0,"No Lockup Period",0,"within 28 days",2019-03-31 00:00:00,0,"None","Bermuda"
72240,"FMG Middle East North Africa A USD","Emerging Markets","USD","US Dollar","OEIC",,,2006-04-03 00:00:00,2016-11-11 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",10000,2,20,"Quarterly",1,0,0,,,,,,,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",20,0,"No Lockup Period",0,"A cheque will be posted or Funds will be wired within 28 days of the relevant Dealing Day, together with  details of the redemption and share certificate for the balance (if any) of the holding.",2019-03-31 00:00:00,0,"None","Bermuda"
72254,"MAN GLG Global Credit Multi-Strategy INF USD RES","Multi-Strategy","USD","US Dollar","Exempted Limited Liability Co",,,2002-10-31 00:00:00,2011-06-09 00:00:00,2019-08-31 00:00:00,"N",100,100,0,"R",100000,1.5,20,"Monthly",1,0,1,,,,,,,0,,0,0,0,0,0,0,,"Monthly","Monthly","Monthly",90,12,"3% Redemption Fee for redemptions prior to the expiration of the Lock-up.",28,"Redemption proceeds will normally be paid by telegraphic transfer to the Shareholder's account specified in the Application Form within five  (5) Business Days after the Dealing Day.",2018-12-31 00:00:00,0,"None","Cayman Islands"
72255,"MAN GLG Global Credit Multi-Strategy DNF USD RES","Multi-Strategy","USD","US Dollar","Exempted Limited Liability Co",,,2002-10-31 00:00:00,2011-06-09 00:00:00,2019-08-31 00:00:00,"N",100,100,0,"R",100000,1.5,20,"Monthly",1,0,1,,,,,,,0,,0,0,0,0,0,0,,"Monthly","Monthly","Monthly",90,12,"3% Redemption Fee for redemptions prior to the expiration of the Lock-up.",28,"Redemption proceeds will normally be paid by telegraphic transfer to the Shareholder's account specified in the Application Form within five  (5) Business Days after the Dealing Day.",2018-12-31 00:00:00,0,"None","Cayman Islands"
72257,"Aktie-Ansvar Graal Offensiv","Multi-Strategy","SEK","Swedish Krona","SE - Specialfond",,,2006-09-29 00:00:00,2008-02-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,0,20,"Annual",0,0,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",10,0,"",0,"",2018-12-31 00:00:00,0,"None","Sweden"
72281,"Picton Mahoney Long Short Equity Class F","Long/Short Equity Hedge","CAD","Canadian Dollar","CA - Trust",,,2006-09-22 00:00:00,2007-05-07 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",25000,1,,,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,"Monthly","Not Defined","Not Defined",0,0,"",0,"",2018-12-31 00:00:00,0,"None","Canada"
72282,"Picton Mahoney Market Neutral Equity Class F","Equity Market Neutral","CAD","Canadian Dollar","CA - Trust",,,2006-09-22 00:00:00,2007-05-07 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",25000,1,,,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,"Monthly","Not Defined","Not Defined",0,0,"",0,"",2018-12-31 00:00:00,0,"None","Canada"
72325,"Antaurus Europe Fund","Fund of Funds","EUR","Euro","NL-Beleggingsfonds(open)",,,2006-10-01 00:00:00,2008-09-11 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",50000,2,0,"Not Defined",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,"Monthly","Monthly","Monthly",0,0,"",0,"",2018-12-31 00:00:00,0,"None","Netherlands"
72354,"LOYS Global MH B","Undefined","EUR","Euro","DE-Sonderverm.zus.Risiken",,,2006-02-08 00:00:00,2006-02-28 00:00:00,2017-01-31 00:00:00,"N",100,100,0,"R",,1.85,15,"Monthly",1,0,1,200,100,0,1,1,0,1,1000000,0,1,1,0,0,0,0,"Monthly","Weekly","Weekly",2,0,"There is no stated Lockup period.",0,"There is no stated Payout  period.",2016-09-30 00:00:00,1,"None","Germany"
72418,"Hedgersel A","Multi-Strategy","EUR","Euro","IT - Fondi Speculativi",,,2003-06-30 00:00:00,2007-05-07 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",500000,1.5,20,"Fortnightly",1,0,0,400,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"Monthly","Fortnightly","Fortnightly",0,0,"There is no lockup period",0,"There is no payout period",2018-12-31 00:00:00,0,"None","Italy"
72419,"Aliseo","Long/Short Equity Hedge","EUR","Euro","IT - Fondi Speculativi",,,2005-07-29 00:00:00,2007-05-07 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",500000,1.5,20,"Monthly",1,1,0,200,100,0,1,0,1,0,0,1,0,1,0,0,0,0,"Monthly","Monthly","Monthly",0,0,"There is no lockup period",0,"There is no payout period",2018-12-31 00:00:00,0,"None","Italy"
72423,"Formulafirst Ltd","Undefined","CHF","Swiss Franc","Open Ended Investment Scheme",,,2002-12-18 00:00:00,2018-05-14 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",1,1.5,20,"Quarterly",1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,"Monthly","Not Defined","Not Defined",0,0,"",0,"",2018-12-31 00:00:00,0,"None","Virgin Islands (British)"
72426,"8a+ Matterhorn","Long/Short Equity Hedge","EUR","Euro","IT - Fondi Speculativi",,,2007-03-23 00:00:00,2007-08-16 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",500000,1.8,20,"Weekly",1,0,0,300,100,0,1,0,0,0,0,1,0,1,0,0,0,0,"Monthly","Weekly","Weekly",0,0,"There is no Lockup Period",0,"There is no Payout Period",2018-12-31 00:00:00,0,"None","Italy"
72470,"Solidum Event Linked Securities SAC 2 A1 USD","Other","USD","US Dollar","Segregated Portfolio Company",,,2006-12-01 00:00:00,2007-05-07 00:00:00,2019-09-30 00:00:00,"N",10000,10000,0,"N",100000,1.5,0,"Monthly",1,1,1,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",95,0,"No lockup period.",0,"No payout period.",2018-12-31 00:00:00,0,"None","Bermuda"
72530,"Fidentiis Tordesillas, FIL","Long/Short Equity Hedge","EUR","Euro","ES & PT - FIL",,,2007-03-30 00:00:00,2008-03-03 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",100000,1.5,20,"Annual",1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,"Monthly","Monthly","Monthly",0,0,"",0,"",2018-12-31 00:00:00,0,"None","Spain"
72545,"Trocadero Capital Holdings C CHF","Multi-Strategy","CHF","Swiss Franc","OEIC",,,2007-07-02 00:00:00,2007-08-27 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",25000,1.5,10,"Quarterly",1,0,1,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",35,0,"No Lockup period.",10,"Payments will normally be made within ten (10) Business Days after the calculation of the Net Asset  Value or as promptly thereafter as the directors consider feasible under the circumstances, without  interest.",2018-12-31 00:00:00,0,"None","Virgin Islands (British)"
72585,"Dynamic Alpha Performance - Series A","Long/Short Equity Hedge","CAD","Canadian Dollar","CA - Trust",,,2002-05-31 00:00:00,2008-08-03 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",5000,2.25,,,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,"Monthly","Not Defined","Not Defined",0,6,"",1,"",2018-12-31 00:00:00,0,"None","Canada"
72593,"Goodwood Fund Class B","Long/Short Equity Hedge","CAD","Canadian Dollar","CA - Trust",,,2002-01-02 00:00:00,2007-05-07 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",150000,1.9,0,"Not Defined",0,0,1,,,,,,,0,,0,0,0,0,0,0,,"Monthly","Weekly","Weekly",0,0,"",0,"",2018-12-31 00:00:00,0,"None","Canada"
72594,"Goodwood Fund Class F","Long/Short Equity Hedge","CAD","Canadian Dollar","CA - Trust",,,2014-09-26 00:00:00,2019-09-10 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",150000,1.9,0,"Not Defined",0,0,1,,,,,,,0,,0,0,0,0,0,0,,"Monthly","Weekly","Weekly",0,0,"",0,"",2018-12-31 00:00:00,0,"None","Canada"
72595,"Hillsdale Canadian Long/Short Equity Class A","Long/Short Equity Hedge","CAD","Canadian Dollar","CA - Trust",,,2000-01-31 00:00:00,2007-05-07 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",50000,2,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,"Monthly","Not Defined","Not Defined",0,0,"",0,"",2018-11-30 00:00:00,0,"None","Canada"
72596,"Hillsdale Canadian Long/Short Equity Class I","Long/Short Equity Hedge","CAD","Canadian Dollar","CA - Trust",,,2001-08-03 00:00:00,2018-07-17 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",2000000,1,,,0,0,0,,,,,,,0,,0,0,0,0,0,0,,"Monthly","Not Defined","Not Defined",0,0,"",0,"",2018-11-30 00:00:00,0,"None","Canada"
72612,"Vertex Fund Class A","Multi-Strategy","CAD","Canadian Dollar","CA - Trust",,,1998-02-06 00:00:00,2010-09-03 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",25000,1,20,"Monthly",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",30,0,"No lockup period.",5,"Within five (5) days after the redemption date.",2018-12-31 00:00:00,0,"None","Canada"
72692,"Jemekk Hedge Fund Series B","Long/Short Equity Hedge","CAD","Canadian Dollar","CA - Trust",,,2003-09-30 00:00:00,2016-03-17 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",25000,2,0,"Not Defined",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,"Monthly","Monthly","Monthly",0,0,"No lock up period.",0,"No payout comment.",2018-12-31 00:00:00,0,"None","Canada"
72750,"Ninepoint Enhanced Long Short Equity LP Series A","Long/Short Equity Hedge","CAD","Canadian Dollar","CA - Trust",,,2004-04-07 00:00:00,2007-05-07 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",150000,2,0,"Monthly",0,0,0,,,,,,,0,,0,0,0,0,0,0,,"Monthly","Monthly","Monthly",0,0,"No lock up period.",0,"No pay out comment.",2018-12-31 00:00:00,0,"None","Canada"
72797,"Tantallon Non-US Feeder USD","Long/Short Equity Hedge","USD","US Dollar","Exempted Limited Liability Co",,,2003-11-03 00:00:00,2007-05-07 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",1000000,1.5,20,"Monthly",1,1,1,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",30,0,"No lockup period.",30,"in any event within one month",2019-06-30 00:00:00,0,"None","Cayman Islands"
72825,"Strand Smabolagsfond","Long/Short Equity Hedge","SEK","Swedish Krona","SE - Specialfond",,,2007-01-31 00:00:00,2007-10-29 00:00:00,2019-10-31 00:00:00,"N",100,100,0,"R",50000,0.9,15,"Annual",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,"Monthly","Monthly","Monthly",5,0,"",0,"",2018-12-31 00:00:00,0,"None","Sweden"
72897,"Anaxis Sabre Style Arbitrage Ltd EUR","Equity Market Neutral","EUR","Euro","OEIC",,,2006-12-18 00:00:00,2014-07-31 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"N",100000,2.5,20,"Monthly",1,0,1,800,1.5,0,0,1,0,0,0,0,1,0,0,0,0,0,"Monthly","Weekly","Weekly",5,0,"No Lockup period.",0,"No Payout period.",2018-12-31 00:00:00,0,"None","Cayman Islands"
72898,"Anaxis Sabre Style Arbitrage Ltd USD","Equity Market Neutral","USD","US Dollar","OEIC",,,2006-12-18 00:00:00,2014-07-31 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"N",100000,2.5,20,"Monthly",1,0,1,800,1.5,0,0,1,0,0,0,0,1,0,0,0,0,0,"Monthly","Weekly","Weekly",5,0,"No Lockup period.",0,"No Payout period.",2018-12-31 00:00:00,0,"None","Cayman Islands"
72931,"RiverNorth Capital Partners LP","Long/Short Equity Hedge","USD","US Dollar","Limited Partnership",,,2007-08-10 00:00:00,2009-01-29 00:00:00,2019-08-31 00:00:00,"N",1000,1000,0,"R",250000,1.5,20,"Monthly",1,0,1,200,120,0,0,1,0,0,0,0,0,0,0,0,0,0,"Monthly","Monthly","Monthly",60,12,"Lockup Period is 12 months",30,"Payout Period is 30 days",2018-12-31 00:00:00,1,"Delaware","United States"
72942,"Golden China Plus","Emerging Markets","USD","US Dollar","Exempted Limited Liability Co",,,2007-04-02 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",500000,2,20,"Monthly",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",90,0,"No Lockup comment",0,"No payout comment",2018-12-31 00:00:00,1,"None","Cayman Islands"
72967,"AlphaGen Octanis A USD","Long/Short Equity Hedge","USD","US Dollar","Open-ended investment fund",,,2005-03-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,1.5,20,"Monthly",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",30,0,"No lock up period.",20,"No redemption requests will be accepted unless in writing. Redemption proceeds will be paid as soon as  practicable and (in any event) within twenty Business Days of the relevant Dealing Day following receipt  of a valid redemption request by transfer to",2019-02-28 00:00:00,0,"None","Cayman Islands"
72968,"AlphaGen Octanis B EUR","Long/Short Equity Hedge","EUR","Euro","Open-ended investment fund",,,2005-03-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,1.5,20,"Monthly",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",30,0,"No lock up period.",20,"No redemption requests will be accepted unless in writing. Redemption proceeds will be paid as soon as  practicable and (in any event) within twenty Business Days of the relevant Dealing Day following receipt  of a valid redemption request by transfer to",2019-02-28 00:00:00,0,"None","Cayman Islands"
72969,"AlphaGen Octanis C GBP","Long/Short Equity Hedge","GBP","British Pound Sterling","Open-ended investment fund",,,2005-03-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,1.5,20,"Monthly",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",30,0,"No lock up period.",20,"No redemption requests will be accepted unless in writing. Redemption proceeds will be paid as soon as  practicable and (in any event) within twenty Business Days of the relevant Dealing Day following receipt  of a valid redemption request by transfer to",2019-02-28 00:00:00,0,"None","Cayman Islands"
73012,"Zambezi Absolute Return","Long/Short Equity Hedge","USD","US Dollar","Exempted Limited Liability Co",,,2005-09-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"N",500000,2,20,"Monthly",1,1,1,500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",20,0,"No Lockup Period.",30,"Payment of the redemption proceeds will usually be made in the currency of the relevant Share within 30 days after the relevant Dealing Day or if later, upon receipt of original completed redemption notice.",2018-12-31 00:00:00,0,"None","Cayman Islands"
73044,"Penjing Asia Market Independent A","Fund of Funds","USD","US Dollar","Exempted Company",,,2005-04-01 00:00:00,2016-11-23 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",3000000,0.875,7,"Monthly",1,1,1,125,120,0,0,0,0,0,0,0,1,0,0,1,0,0,"Monthly","Monthly","Quarterly",45,0,"no lock up period",35,"",2018-12-31 00:00:00,0,"None","Cayman Islands"
73045,"Penjing Asia Market Independent B","Fund of Funds","USD","US Dollar","Exempted Company",,,2008-01-02 00:00:00,2016-11-25 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,1.75,10,"Monthly",1,1,1,125,120,0,0,0,0,0,0,0,1,0,0,1,0,0,"Monthly","Monthly","Monthly",45,0,"no lock up period",35,"",2018-12-31 00:00:00,0,"None","Cayman Islands"
73117,"GLG European Long-Short H USD Restricted","Long/Short Equity Hedge","USD","US Dollar","Exempted Limited Liability Co",,,2003-07-31 00:00:00,2009-03-02 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,2,20,"Monthly",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",30,0,"No Lockup period.",5,"No Redemption Notice period / Redemption proceeds will normally be paid within 5th Business Days after the Dealing Day.",2018-12-31 00:00:00,0,"None","Cayman Islands"
73118,"GLG European Long-Short J EUR Restricted","Long/Short Equity Hedge","EUR","Euro","Exempted Limited Liability Co",,,2003-05-30 00:00:00,2009-03-02 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,2,20,"Monthly",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",30,0,"No Lock-up",5,"No Redemption Notice period / Redemption proceeds will normally be paid within 5th Business Days after the Dealing Day.",2018-12-31 00:00:00,0,"None","Cayman Islands"
73119,"GLG European Long-Short I EUR Restricted","Long/Short Equity Hedge","EUR","Euro","Exempted Limited Liability Co",,,2003-04-30 00:00:00,2009-03-02 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",100000,2,20,"Monthly",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Monthly","Monthly","Monthly",30,0,"No Lockup period",5,"No Redemption Notice period / Redemption proceeds will normally be paid within 5th Business Days after the Dealing Day.",2018-12-31 00:00:00,0,"None","Cayman Islands"
73128,"Horizon Kinetics Equity Opportunities LP","Long/Short Equity Hedge","USD","US Dollar","Limited Partnership",,,2007-08-20 00:00:00,2017-08-22 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",1000000,1,20,"Monthly",1,1,1,200,20,1,1,1,0,1,1750000,0,0,0,0,0,0,50000000,"Monthly","Monthly","Monthly",20,0,"No Lockup",30,"Payments for withdrawals are generally made within 30 days of the effective withdrawal date; however, in the event a Partner withdraws 90% or more of the funds from such Partner's Capital Account, a portion (generally not to exceed 10%) of the withdrawal",2018-12-31 00:00:00,1,"New York","United States"
73135,"Connective Capital Emerging Energy QP LP","Long/Short Equity Hedge","USD","US Dollar","Limited Partnership",,,2007-10-01 00:00:00,2018-07-19 00:00:00,2019-09-30 00:00:00,"N",1,1,0,"R",500000,1.5,,"Annual",0,0,0,0,0,0,0,0,0,1,6000000,0,0,1,0,0,1,20000000,"Monthly","Monthly","Monthly",45,0,"No Lockup Period",30,"Monthly",2018-12-31 00:00:00,0,"Delaware","United States"
73144,"Renaissance Institutional Equities LLC BB","Long/Short Equity Hedge","USD","US Dollar","Limited Liability Company",,,2005-08-01 00:00:00,2011-04-07 00:00:00,2019-09-30 00:00:00,"N",100,100,0,"R",1000000,0.35,10,"Quarterly",1,0,1,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,"Monthly","Monthly","Quarterly",45,0,"No Lock up period.",10,"Redemptions permitted at the end of any calendar quarter at least 45 days prior written notice and will be paid in full, in cash, no later than the 10th business day.",2018-12-31 00:00:00,0,"Delaware","United States"
73163,"SC Asian Opportunity LP","Long/Short Equity Hedge","USD","US Dollar","Limited Partnership",,,2007-06-01 00:00:00,2009-01-29 00:00:00,2019-09-30 00:00:00,"N",1000,1000,0,"R",250000,1.5,20,"Quarterly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Monthly","Monthly","Quarterly",45,0,"No Lockup Period.",0,"No Payout Period.",2018-12-31 00:00:00,0,"Delaware","United States"
